Title,Link,Country,Keywords,Sentiment Score,Sentiment,Impact on Country
"Turkish government racks up naval, drone deals during Asia trip",https://www.defensenews.com/global/asia-pacific/2025/02/14/turkish-government-racks-up-naval-drone-deals-during-asia-trip/,Indonesia,"President Recep, Recep Tayyip, Asia trip, trip ISTANBUL, Tayyip Erdoğan",0.856733342,Positive,Likely Positive
Defense News,https://www.defensenews.com/defense-news-top-100-list/,Unknown,Defense,0.374060422,Positive,Likely Positive
TRANSFORMING AND MODERNIZING MILITARY POLICING,https://www.defensenews.com/download-whitepaper-9/,Unknown,"MODERNIZING MILITARY, MILITARY POLICING, Market Intelligence, Intelligence Newsletter, similar content",0.852449923,Positive,Likely Positive
Surface Navy,https://www.defensenews.com/explore-coverage-surface-navy/,Unknown,"Surface Navy, Navy, Surface",0.374060422,Positive,Likely Positive
Automation for Command and Control Testing in Secure Environments,https://www.defensenews.com/solution-brief-future-proof-command-and-control-systems/,Unknown,"Control Testing, Secure Environments, Eggplant Test, Test software, Command",-0.002218777,Neutral,Likely Negative
Budgeting For Your First Home — Money Minute,https://www.defensenews.com/video/2025/02/10/budgeting-for-your-first-home-money-minute/,Unknown,"Money Minute, Home, Money, Minute, Budgeting",0.374060422,Positive,Likely Positive
Air Warfare – Global Air Warfare,https://www.defensenews.com/air,Unknown,"Air Warfare, Global Air, Warfare Defense, Warfare Air, warfare programs",0.279518755,Positive,Likely Positive
Black Hawk crew in DC crash may have missed key air traffic messages,https://www.defensenews.com/air/2025/02/14/black-hawk-crew-in-dc-crash-may-have-missed-key-air-traffic-messages/,Unknown,"Black Hawk, Reagan National, National Airport, National Transportation, Hawk crew",-0.378209896,Negative,Likely Negative
Pentagon expands list of commercial drones certified for military use,https://www.defensenews.com/unmanned/2025/02/14/pentagon-expands-list-of-commercial-drones-certified-for-military-use/,Unknown,"Defense Innovation, Innovation Unit, Unit announced, announced Friday, Pentagon expands",-0.111842648,Negative,Likely Negative
"Deterring China, slashing waste top Pentagon priorities, Hegseth says",https://www.defensenews.com/air/2025/02/08/deterring-china-slashing-waste-top-pentagon-priorities-hegseth-says/,China,"Secretary Pete, United States, Defense Secretary, Pete Hegseth, Defense Department",-0.017517062,Neutral,Likely Negative
Ukraine receives first Mirage 2000 fighter jets from France,https://www.defensenews.com/global/europe/2025/02/06/ukraine-receives-first-mirage-2000-fighter-jets-from-france/,France,"Armed Forces, Forces Minister, Minister Sébastien, France PARIS, Sébastien Lecornu",0.949883566,Positive,Likely Positive
Applied Intuition acquires AI software firm EpiSci,https://www.defensenews.com/air/2025/02/06/applied-intuition-acquires-ai-software-firm-episci/,Unknown,"Silicon Valley, Applied Intuition, Intuition acquires, Intuition announced, announced Thursday",0.816980182,Positive,Likely Positive
Land Warfare – Global Land Warfare,https://www.defensenews.com/land,Unknown,"Land Warfare, Global Land, Land Defense, Warfare Land, warfare programs",0.410750725,Positive,Likely Positive
Japan becomes Boeing’s newest customer of latest Chinook helo variant,https://www.defensenews.com/land/2025/02/13/japan-becomes-boeings-newest-customer-of-latest-chinook-helo-variant/,Japan,"latest Chinook, Chinook helo, Chinook cargo, latest variant, Operations Command",-0.494520128,Negative,Likely Negative
Senators detail desired missile defense elements for Trump’s Iron Dome,https://www.defensenews.com/pentagon/2025/02/07/senators-detail-desired-missile-defense-elements-for-trumps-iron-dome/,Unknown,"Donald Trump, Iron Dome, President Donald, missile defense, Republican senators",-0.459564825,Negative,Likely Negative
Dutch military adds railway steel to rush troops to NATO’s east flank,https://www.defensenews.com/global/europe/2025/02/07/dutch-military-adds-railway-steel-to-rush-troops-to-natos-east-flank/,Russia,"flank PARIS, Netherlands Ministry, east flank, eastern flank, railway steel",0.150691188,Positive,Likely Positive
Marine Corps passes second straight audit as other services lag behind,https://www.defensenews.com/naval/2025/02/04/marine-corps-passes-second-straight-audit-as-other-services-lag-behind/,Unknown,"Marine Corps, Defense Department, straight year, Corps passes, Marine",0.864832133,Positive,Likely Positive
Top Army aviators were on routine flight when helo collided with jet,https://www.defensenews.com/land/2025/01/30/top-army-aviators-were-on-routine-flight-when-helo-collided-with-jet/,Unknown,"Reagan National, National Airport, Headquarters Department, Aviation Directorate, American Airlines",-0.277013481,Negative,Likely Negative
Pentagon News: The latest stories and analysis on DoD decisions and policies,https://www.defensenews.com/pentagon,Unknown,"decision-makers informed, Pentagon Defense, affecting defense, defense programs, policies Pentagon",0.624500483,Positive,Likely Positive
Trump wants nuclear arms talks with Russia and China,https://www.defensenews.com/pentagon/2025/02/13/trump-wants-nuclear-arms-talks-with-russia-and-china/,Russia,"President Donald, Donald Trump, China President, arms talks, nuclear arms",-0.929544467,Negative,Likely Negative
"DOD wants to cut red tape on foreign arms deals, Hegseth says",https://www.defensenews.com/pentagon/2025/02/13/dod-wants-to-cut-red-tape-on-foreign-arms-deals-hegseth-says/,Unknown,"Secretary Pete, Pete Hegseth, Defense Secretary, arms deals, foreign arms",0.137066016,Positive,Likely Positive
Former Pentagon leader Chris Miller joins defense investment firm,https://www.defensenews.com/pentagon/2025/02/13/former-pentagon-leader-chris-miller-joins-defense-investment-firm/,Unknown,"Secretary Christopher, Christopher Miller, Acting Defense, Defense Secretary, Fulcrum Venture",-0.028978919,Neutral,Likely Negative
Military Space – Military Space Systems,https://www.defensenews.com/space,Unknown,"Military Space, Space Systems, Systems Space, Space Defense, space programs",0.624756277,Positive,Likely Positive
Space Development Agency launches study on Trump’s Iron Dome order,https://www.defensenews.com/space/2025/02/12/space-development-agency-launches-study-on-trumps-iron-dome-order/,United States,"Iron Dome, Development Agency, Space Development, Trump administration, Donald Trump",-0.206805529,Negative,Likely Negative
Hegseth calls NATO membership for Ukraine unrealistic,https://www.defensenews.com/news/pentagon-congress/2025/02/12/hegseth-calls-nato-membership-for-ukraine-unrealistic/,Russia,"Secretary Pete, NATO membership, unrealistic BRUSSELS, Pete Hegseth, Defense Secretary",-0.109369588,Negative,Likely Negative
Hegseth makes first visit to NATO as allies await US plans for Ukraine,https://www.defensenews.com/news/pentagon-congress/2025/02/12/hegseth-makes-first-visit-to-nato-as-allies-await-us-plans-for-ukraine/,Unknown,"Secretary Pete, Trump administration, Defense Secretary, support Washington, Washington intends",-0.091287165,Negative,Likely Negative
Naval Warfare – Global Naval Warfare,https://www.defensenews.com/naval,Unknown,"Naval Warfare, Global Naval, Naval Defense, Warfare Naval, warfare programs",0.410786398,Positive,Likely Positive
"Russian spy ship caught fire off Syria’s coast, its broadcast recorded",https://www.defensenews.com/naval/2025/02/11/russian-spy-ship-caught-fire-off-syrias-coast-its-broadcast-recorded/,Russia,"Russian spy, Syria, ship caught, broadcast recorded, spy ship",0.121207521,Positive,Likely Positive
Navy League urges rapid expansion of battle fleet for future wars,https://www.defensenews.com/news/your-military/2025/02/06/navy-league-urges-rapid-expansion-of-battle-fleet-for-future-wars/,Russia,"Navy League, League urges, early February, future wars, large-scale wars",-0.738022067,Negative,Likely Negative
US Navy hits drone with HELIOS laser in successful test,https://www.defensenews.com/news/your-navy/2025/02/04/us-navy-hits-drone-with-helios-laser-in-successful-test/,Unknown,"Integrated Optical, Optical Dazzler, Navy hits, Navy successfully, successfully tested",-0.838231851,Negative,Likely Negative
Severed undersea cables raise legal challenges for NATO,https://www.defensenews.com/global/europe/2025/02/03/severed-undersea-cables-raise-legal-challenges-for-nato/,Unknown,"legal challenges, NATO MILAN, undersea cables, cables raise, raise legal",-0.594458991,Negative,Likely Negative
"11 Baltic cables damaged in 15 months, pushing NATO to boost security",https://www.defensenews.com/global/europe/2025/01/28/11-baltic-cables-damaged-in-15-months-pushing-nato-to-boost-security/,Germany,"FRENCH NAVY, security ABOARD, BALTIC SEA, Navy surveillance, NAVY FLIGHT",-0.340797523,Negative,Likely Negative
Military Space – Military Space Systems,https://www.defensenews.com/space,Unknown,"Military Space, Space Systems, Systems Space, Space Defense, space programs",0.624756277,Positive,Likely Positive
Space Force acquisition office ‘aggressively’ pushing reform efforts,https://www.defensenews.com/space/2025/02/12/space-force-acquisition-office-aggressively-pushing-reform-efforts/,Unknown,"Space Force, aggressively’ pushing, procurement lead, reform efforts, interim procurement",0.659900638,Positive,Likely Positive
Defense News,https://www.defensenews.com/opinion,Unknown,"defense policy, Opinion Defense, industry decision-makers, global debate, Defense",0.622307509,Positive,Likely Positive
Preventing China’s DeepSeek in Space,https://www.defensenews.com/opinion/2025/02/05/preventing-chinas-deepseek-in-space/,China,"DeepSeek artificial, artificial intelligence, Preventing China, American, recent revelation",0.933375314,Positive,Likely Positive
Why the US Navy wants to build a fully autonomous satellite,https://www.defensenews.com/space/2025/01/23/why-the-us-navy-wants-to-build-a-fully-autonomous-satellite/,Unknown,"fully autonomous, Navy researchers, autonomous satellite, satellite Navy, Navy",0.749811247,Positive,Likely Positive
Blue Origin’s New Glenn rocket debuts,https://www.defensenews.com/space/2025/01/16/blue-origins-new-glenn-rocket-debuts/,Unknown,"Blue Origin, Space transport, Glenn rocket, Glenn, Canaveral Space",0.736257966,Positive,Likely Positive
Italy eyes Musk’s Starlink for secret government communications,https://www.defensenews.com/global/europe/2025/01/10/italy-eyes-musks-starlink-for-secret-government-communications/,Italy,"Italian prime, minister Giorgia, employ Elon, Elon Musk, Giorgia Meloni",0.085643182,Positive,Likely Positive
Video – Video and Multimedia,https://www.defensenews.com/videos,Unknown,"Watch exclusive, Multimedia Video, Video Watch, exclusive Defense, defense officials",-0.258082139,Negative,Likely Negative
‘Courage is our obligation’: What the horrors of Fallujah taught one young soldier,https://www.defensenews.com/video/2024/03/19/courage-is-our-obligation-what-the-horrors-of-fallujah-taught-one-young-soldier/,Unknown,"Fallujah taught, young soldier, Courage, Fallujah, obligation’",0.374060422,Positive,Likely Positive
Hegseth says Ukraine can’t return to old borders,https://www.defensenews.com/video/2025/02/12/hegseth-says-ukraine-cant-return-to-old-borders/,Unknown,"n’t return, Ukraine, Hegseth, borders, n’t",0.374060422,Positive,Likely Positive
"New VA Secretary takes office, and more Pentagon updates",https://www.defensenews.com/video/2025/02/07/new-va-secretary-takes-office-and-more-pentagon-updates-defense-news-weekly-full-episode-2825/,Unknown,"Pentagon updates, Secretary, Pentagon, office, updates",0.374060422,Positive,Likely Positive
Budgeting For Your First Home — Money Minute,https://www.defensenews.com/video/2025/02/10/budgeting-for-your-first-home-money-minute/,Unknown,"Money Minute, Home, Money, Minute, Budgeting",0.374060422,Positive,Likely Positive
See American F-35s land on a Japanese warship,https://www.defensenews.com/video/2025/02/07/see-american-f-35s-land-on-a-japanese-warship/,Unknown,"Japanese warship, American, Japanese, land, warship",0.374060422,Positive,Likely Positive
Change comes to the VA as new Secretary takes the helm,https://www.defensenews.com/video/2025/02/07/change-comes-to-the-va-as-new-secretary-takes-the-helm/,Unknown,"Secretary, Change, helm",0.374060422,Positive,Likely Positive
Black Hawk crew in DC crash may have missed key air traffic messages,https://www.defensenews.com/air/2025/02/14/black-hawk-crew-in-dc-crash-may-have-missed-key-air-traffic-messages/,Unknown,"Black Hawk, Reagan National, National Airport, National Transportation, Hawk crew",-0.378209896,Negative,Likely Negative
Author Jen Judson,https://www.defensenews.com/author/jen-judson,Unknown,"Jen Judson, Judson Jen, Land Warfare, Reporter Jen, Judson Land",0.326425837,Positive,Likely Positive
Pentagon expands list of commercial drones certified for military use,https://www.defensenews.com/unmanned/2025/02/14/pentagon-expands-list-of-commercial-drones-certified-for-military-use/,Unknown,"Defense Innovation, Innovation Unit, Unit announced, announced Friday, Pentagon expands",-0.111842648,Negative,Likely Negative
Author Courtney Albon,https://www.defensenews.com/author/courtney-albon,Unknown,"Courtney Albon, Albon Courtney, Author Courtney, Courtney, Albon",0.802042621,Positive,Likely Positive
"Polish officials offer US more defense buys, joint ammo production",https://www.defensenews.com/global/europe/2025/02/14/polish-officials-offer-us-more-defense-buys-joint-ammo-production/,Germany,"Secretary Pete, Pete Hegseth, Defense Secretary, domestic product, military expenditures",0.238255108,Positive,Likely Positive
Author Jaroslaw Adamowski,https://www.defensenews.com/author/jaroslaw-adamowski,Unknown,"Jaroslaw Adamowski, Adamowski Jaroslaw, Author Jaroslaw, Poland correspondent, Jaroslaw",0.558517446,Positive,Likely Positive
Defense News,https://www.defensenews.com/opinion,Unknown,"defense policy, Opinion Defense, industry decision-makers, global debate, Defense",0.622307509,Positive,Likely Positive
What the Pentagon might learn from Ukraine about fielding new tech,https://www.defensenews.com/opinion/2025/02/14/what-the-pentagon-might-learn-from-ukraine-about-fielding-new-tech/,Unknown,"Armed Forces, collecting intelligence, ongoing Russo-Ukrainian, high volume, guiding removal",0.06715848,Positive,Likely Positive
"Turkish government racks up naval, drone deals during Asia trip",https://www.defensenews.com/global/asia-pacific/2025/02/14/turkish-government-racks-up-naval-drone-deals-during-asia-trip/,Indonesia,"President Recep, Recep Tayyip, Asia trip, trip ISTANBUL, Tayyip Erdoğan",0.856733342,Positive,Likely Positive
Author Cem Devrim Yaylali,https://www.defensenews.com/author/cem-devrim-yaylali,Turkey,"Cem Devrim, Devrim Yaylali, Yaylali Cem, Author Cem, Devrim",0.877940506,Positive,Likely Positive
"As Israel fields Iron Beam, Gulf states are pining for the technology",https://www.defensenews.com/global/mideast-africa/2025/02/14/as-israel-fields-iron-beam-gulf-states-are-pining-for-the-technology/,Unknown,"Iron Beam, technology MILAN, fields Iron, Israel fields, Beam",-0.671447028,Negative,Likely Negative
Author Elisabeth Gosselin-Malo,https://www.defensenews.com/author/elisabeth-gosselin-malo,Italy,"Elisabeth Gosselin-Malo, Gosselin-Malo Elisabeth, Author Elisabeth, Europe correspondent, Elisabeth",0.718253402,Positive,Likely Positive
Trump wants nuclear arms talks with Russia and China,https://www.defensenews.com/pentagon/2025/02/13/trump-wants-nuclear-arms-talks-with-russia-and-china/,Russia,"President Donald, Donald Trump, China President, arms talks, nuclear arms",-0.929544467,Negative,Likely Negative
Japan becomes Boeing’s newest customer of latest Chinook helo variant,https://www.defensenews.com/land/2025/02/13/japan-becomes-boeings-newest-customer-of-latest-chinook-helo-variant/,Japan,"latest Chinook, Chinook helo, Chinook cargo, latest variant, Operations Command",-0.494520128,Negative,Likely Negative
Author Jen Judson,https://www.defensenews.com/author/jen-judson,Unknown,"Jen Judson, Judson Jen, Land Warfare, Reporter Jen, Judson Land",0.326425837,Positive,Likely Positive
"DOD wants to cut red tape on foreign arms deals, Hegseth says",https://www.defensenews.com/pentagon/2025/02/13/dod-wants-to-cut-red-tape-on-foreign-arms-deals-hegseth-says/,Unknown,"Secretary Pete, Pete Hegseth, Defense Secretary, arms deals, foreign arms",0.137066016,Positive,Likely Positive
Author Jen Judson,https://www.defensenews.com/author/jen-judson,Unknown,"Jen Judson, Judson Jen, Land Warfare, Reporter Jen, Judson Land",0.326425837,Positive,Likely Positive
Former Pentagon leader Chris Miller joins defense investment firm,https://www.defensenews.com/pentagon/2025/02/13/former-pentagon-leader-chris-miller-joins-defense-investment-firm/,Unknown,"Secretary Christopher, Christopher Miller, Acting Defense, Defense Secretary, Fulcrum Venture",-0.028978919,Neutral,Likely Negative
Author Courtney Albon,https://www.defensenews.com/author/courtney-albon,Unknown,"Courtney Albon, Albon Courtney, Author Courtney, Courtney, Albon",0.802042621,Positive,Likely Positive
"Survival of the quickest: Military leaders aim to unleash, control AI",https://www.defensenews.com/global/europe/2025/02/13/survival-of-the-quickest-military-leaders-aim-to-unleash-control-ai/,China,"Action Summit, Artificial intelligence, decision making, NATO commander, leaders aim",-0.11341279,Negative,Likely Negative
Author Rudy Ruitenberg,https://www.defensenews.com/author/rudy-ruitenberg,Unknown,"Rudy Ruitenberg, Ruitenberg Rudy, Author Rudy, Europe correspondent, Rudy",0.556582202,Positive,Likely Positive
NATO allies insist Ukraine and Europe must be part of peace talks,https://www.defensenews.com/global/europe/2025/02/13/nato-allies-insist-ukraine-and-europe-must-be-part-of-peace-talks/,Russia,"Pete Hegseth, United States, NATO allies, Hegseth denied, Secretary Pete",-0.063273314,Negative,Likely Negative
"Defense News, Covering the politics, business and technology of defense",https://www.defensenews.com/homepage?contentFeatureId=f0f4HwEpRvqC2Ho&contentQuery=%7B%22includeSections%22%3A%22%2Fnewsletters%2Fdaily-news-roundup%22%2C%22excludeSections%22%3A%22%22%2C%22feedSize%22%3A10%2C%22feedOffset%22%3A12%7D,Unknown,"Covering, politics, business, Defense, technology",0.374060422,Positive,Likely Positive
Defense News,https://www.facebook.com/DefenseNews,Unknown,Defense,0.374060422,Positive,Likely Positive
x.com,https://twitter.com/defense_news,Unknown,x.com,0.374060422,Positive,Likely Positive
Defense News RSS Feeds,https://www.defensenews.com/m/rss/,Unknown,"RSS Feeds, Feeds, RSS, Defense",0.374060422,Positive,Likely Positive
Privacy Policy,https://www.defensenews.com/m/privacy-policy/,Unknown,"Group LLC, Media Group, Privacy Policy, Policy INTRODUCTION, Sightline Media",0.966209639,Positive,Likely Positive
Terms of Services,https://www.defensenews.com/m/terms-of-services/,Unknown,"Privacy Notice, site, Terms, Service, additional terms",-0.125760243,Negative,Likely Negative
Subscription Portal | Sightline Media Group,https://www.defensenews.com/subscribe,Unknown,"Sightline Media, Group Stay, Subscription Portal, Media Group, defense",0.563789983,Positive,Likely Positive
