Country,Trade Type,Partner Country,Value (Million USD),Year
saudi-arabia,Export,Bahrain,$8.79B,2023
saudi-arabia,Export,Malaysia,$7.68B,2023
saudi-arabia,Export,Singapore,$7.68B,2023
saudi-arabia,Export,Egypt,$7.53B,2023
argentina,Export,Brazil,$13.61B,2024
argentina,Export,United States,$6.46B,2024
argentina,Export,Chile,$6.33B,2024
argentina,Export,China,$5.96B,2024
argentina,Export,India,$3.93B,2024
argentina,Export,Vietnam,$3.28B,2024
argentina,Export,Peru,$2.48B,2024
argentina,Export,Switzerland,$1.70B,2024
argentina,Export,Netherlands,$1.69B,2024
argentina,Export,Uruguay,$1.64B,2024
south-africa,Export,China,$12.41B,2024
south-africa,Export,United States,$8.21B,2024
south-africa,Export,Germany,$7.08B,2024
south-africa,Export,Mozambique,$6.57B,2024
south-africa,Export,United Kingdom,$5.28B,2024
south-africa,Export,Japan,$4.88B,2024
south-africa,Export,India,$4.75B,2024
south-africa,Export,Botswana,$4.33B,2024
south-africa,Export,Netherlands,$4.28B,2024
south-africa,Export,Namibia,$3.85B,2024
singapore,Export,China,$65.59B,2023
singapore,Export,Hong Kong,$50.41B,2023
singapore,Export,United States,$44.92B,2023
singapore,Export,Malaysia,$44.45B,2023
singapore,Export,Indonesia,$35.37B,2023
singapore,Export,South Korea,$20.65B,2023
singapore,Export,Japan,$19.35B,2023
singapore,Export,Thailand,$19.10B,2023
singapore,Export,Vietnam,$16.65B,2023
singapore,Export,Australia,$15.13B,2023
antigua-and-barbuda,Export,United States,$7.71M,2023
antigua-and-barbuda,Export,China,$2.86M,2023
antigua-and-barbuda,Export,Netherlands,$2.74M,2023
antigua-and-barbuda,Export,St Kitts and Nevis,$1.60M,2023
antigua-and-barbuda,Export,Dominica,$1.59M,2023
antigua-and-barbuda,Export,United Kingdom,$1.01M,2023
antigua-and-barbuda,Export,France,$874.76K,2023
antigua-and-barbuda,Export,Barbados,$531.88K,2023
antigua-and-barbuda,Export,Spain,$420.31K,2023
antigua-and-barbuda,Export,Suriname,$337.18K,2023
aruba,Export,Colombia,$51.02M,2023
aruba,Export,United States,$17.61M,2023
aruba,Export,Netherlands,$2.77M,2023
aruba,Export,Panama,$1.62M,2023
aruba,Export,Venezuela,$32.97K,2023
aruba,Export,United Arab Emirates,$2.01M,2022
aruba,Export,Uruguay,$1.78M,2022
aruba,Export,Suriname,$1.12M,2022
bahamas,Export,United States,$562.17M,2023
bahamas,Export,China,$1.56M,2023
bahamas,Export,Jamaica,$945.51K,2023
bahamas,Export,Japan,$762.97K,2023
bahamas,Export,Netherlands,$691.21K,2023
bahamas,Export,Germany,$584.26K,2023
bahamas,Export,Canada,$436.18K,2023
bahamas,Export,Italy,$388.08K,2023
bahamas,Export,Finland,$284.88K,2023
bahamas,Export,Hong Kong,$267.77K,2023
barbados,Export,United States,$102.46M,2024
barbados,Export,Jamaica,$34.21M,2024
barbados,Export,Trinidad And Tobago,$29.83M,2024
barbados,Export,United Kingdom,$26.49M,2024
barbados,Export,Guyana,$19.85M,2024
barbados,Export,Canada,$19.79M,2024
barbados,Export,St Vincent and the Grenadines,$13.32M,2024
barbados,Export,Antigua and Barbuda,$11.53M,2024
barbados,Export,Grenada,$10.87M,2024
barbados,Export,France,$10.37M,2024
belize,Export,United States,$71.24M,2022
belize,Export,United Kingdom,$57.85M,2022
belize,Export,Guatemala,$31.41M,2022
belize,Export,Honduras,$19.90M,2022
belize,Export,Spain,$18.35M,2022
belize,Export,Trinidad And Tobago,$14.38M,2022
belize,Export,Jamaica,$13.42M,2022
belize,Export,Ireland,$11.11M,2022
belize,Export,Mexico,$7.08M,2022
belize,Export,Suriname,$3.17M,2022
bermuda,Export,United States,$20.04M,2023
bermuda,Export,Canada,$561.09K,2023
bermuda,Export,United Kingdom,$508.60K,2023
bermuda,Export,Netherlands,$345.24K,2023
bermuda,Export,Finland,$306.62K,2023
bermuda,Export,Germany,$216.36K,2023
bermuda,Export,Denmark,$54.58K,2023
bermuda,Export,Ireland,$53.57K,2023
bermuda,Export,Spain,$36.32K,2023
bermuda,Export,Portugal,$30.30K,2023
bolivia,Export,Brazil,$1.58B,2023
bolivia,Export,India,$1.32B,2023
bolivia,Export,China,$1.17B,2023
bolivia,Export,Argentina,$996.72M,2023
bolivia,Export,Colombia,$957.94M,2023
bolivia,Export,United Arab Emirates,$893.58M,2023
bolivia,Export,Japan,$671.26M,2023
bolivia,Export,Peru,$590.33M,2023
bolivia,Export,South Korea,$403.68M,2023
bolivia,Export,Hong Kong,$318.22M,2023
cayman-islands,Export,United States,$36.81M,2023
cayman-islands,Export,United Kingdom,$4.94M,2023
cayman-islands,Export,Jamaica,$3.58M,2023
chile,Export,China,$37.45B,2023
chile,Export,United States,$14.31B,2023
chile,Export,Japan,$6.80B,2023
chile,Export,South Korea,$6.02B,2023
chile,Export,Brazil,$4.28B,2023
chile,Export,Mexico,$1.75B,2023
chile,Export,Netherlands,$1.62B,2023
chile,Export,Peru,$1.56B,2023
chile,Export,India,$1.51B,2023
chile,Export,Bolivia,$1.43B,2023
colombia,Export,United States,$14.11B,2023
colombia,Export,Panama,$4.66B,2023
colombia,Export,China,$2.47B,2023
colombia,Export,India,$2.40B,2023
colombia,Export,Netherlands,$2.04B,2023
colombia,Export,Ecuador,$2.01B,2023
colombia,Export,Brazil,$1.89B,2023
colombia,Export,Mexico,$1.88B,2023
colombia,Export,Spain,$1.15B,2023
colombia,Export,Peru,$1.14B,2023
costa-rica,Export,United States,$8.34B,2023
costa-rica,Export,Netherlands,$1.51B,2023
costa-rica,Export,Guatemala,$888.00M,2023
costa-rica,Export,Belgium,$839.06M,2023
costa-rica,Export,Nicaragua,$692.53M,2023
costa-rica,Export,Panama,$625.85M,2023
costa-rica,Export,Honduras,$598.22M,2023
costa-rica,Export,El Salvador,$458.74M,2023
costa-rica,Export,China,$416.66M,2023
costa-rica,Export,Japan,$379.84M,2023
cuba,Export,Spain,$346.81M,2022
cuba,Export,China,$175.50M,2022
cuba,Export,Germany,$40.84M,2022
cuba,Export,France,$28.70M,2022
cuba,Export,Venezuela,$26.86M,2022
cuba,Export,Canada,$23.86M,2022
cuba,Export,Hong Kong,$23.46M,2022
cuba,Export,Cyprus,$17.54M,2022
cuba,Export,Belgium,$14.30M,2022
cuba,Export,Italy,$13.81M,2022
dominica,Export,Iceland,$4.72M,2023
dominica,Export,Antigua and Barbuda,$3.96M,2023
dominica,Export,France,$2.06M,2023
dominica,Export,United States,$1.76M,2023
dominica,Export,Barbados,$1.43M,2023
dominica,Export,Guyana,$1.08M,2023
dominica,Export,St Kitts and Nevis,$954.68K,2023
dominica,Export,Trinidad And Tobago,$364.1K,2023
dominica,Export,St Vincent and the Grenadines,$300.27K,2023
dominica,Export,United Kingdom,$285.42K,2023
dominican-republic,Export,United States,$7.16B,2023
dominican-republic,Export,Haiti,$856.49M,2023
dominican-republic,Export,Switzerland,$807.83M,2023
dominican-republic,Export,India,$367.08M,2023
dominican-republic,Export,Netherlands,$350.51M,2023
dominican-republic,Export,China,$290.37M,2023
dominican-republic,Export,South Korea,$236.22M,2023
dominican-republic,Export,Germany,$144.12M,2023
dominican-republic,Export,Jamaica,$110.86M,2023
dominican-republic,Export,Belgium,$106.41M,2023
ecuador,Export,United States,$7.40B,2023
ecuador,Export,China,$5.67B,2023
ecuador,Export,Panama,$4.47B,2023
ecuador,Export,Chile,$978.39M,2023
ecuador,Export,Peru,$974.81M,2023
ecuador,Export,Russia,$923.61M,2023
ecuador,Export,Spain,$853.98M,2023
ecuador,Export,Netherlands,$852.86M,2023
ecuador,Export,Colombia,$775.95M,2023
ecuador,Export,Italy,$629.33M,2023
el-salvador,Export,United States,$2.16B,2024
el-salvador,Export,Guatemala,$1.30B,2024
el-salvador,Export,Honduras,$1.04B,2024
el-salvador,Export,Nicaragua,$581.21M,2024
el-salvador,Export,Costa Rica,$309.54M,2024
el-salvador,Export,Mexico,$249.50M,2024
el-salvador,Export,Panama,$122.02M,2024
el-salvador,Export,Dominican Republic,$108.17M,2024
el-salvador,Export,China,$52.82M,2024
el-salvador,Export,Spain,$50.31M,2024
grenada,Export,United States,$4.04M,2023
grenada,Export,St Vincent and the Grenadines,$3.96M,2023
grenada,Export,Trinidad And Tobago,$3.15M,2023
grenada,Export,St Kitts and Nevis,$2.83M,2023
grenada,Export,Antigua and Barbuda,$1.39M,2023
grenada,Export,Guyana,$973.61K,2023
grenada,Export,Jamaica,$846.49K,2023
grenada,Export,Barbados,$614.41K,2023
grenada,Export,Netherlands,$501.98K,2023
grenada,Export,Canada,$407.16K,2023
guatemala,Export,United States,$4.61B,2023
guatemala,Export,El Salvador,$1.87B,2023
guatemala,Export,Honduras,$1.63B,2023
guatemala,Export,Nicaragua,$985.64M,2023
guatemala,Export,Mexico,$674.15M,2023
guatemala,Export,Costa Rica,$641.52M,2023
guatemala,Export,Netherlands,$624.01M,2023
guatemala,Export,Panama,$313.83M,2023
guatemala,Export,Spain,$291.22M,2023
guatemala,Export,Dominican Republic,$242.23M,2023
guyana,Export,Netherlands,$3.48B,2024
guyana,Export,United States,$3.37B,2024
guyana,Export,United Kingdom,$3.15B,2024
guyana,Export,Panama,$2.54B,2024
guyana,Export,Trinidad And Tobago,$1.67B,2024
guyana,Export,Singapore,$1.18B,2024
guyana,Export,Spain,$1.07B,2024
guyana,Export,Sweden,$693.54M,2024
guyana,Export,Brazil,$639.09M,2024
guyana,Export,Italy,$610.39M,2024
haiti,Export,United States,$52.43M,1997
haiti,Export,France,$2.82M,1997
haiti,Export,Belgium,$2.26M,1997
haiti,Export,Netherlands,$604.68K,1997
haiti,Export,Italy,$558.34K,1997
haiti,Export,Canada,$403.48K,1997
haiti,Export,Switzerland,$298.57K,1997
haiti,Export,Germany,$274.95K,1997
haiti,Export,United Kingdom,$253.23K,1997
haiti,Export,Spain,$183.16K,1997
honduras,Export,United States,$3.23B,2023
honduras,Export,El Salvador,$464.05M,2023
honduras,Export,Nicaragua,$422.11M,2023
honduras,Export,Guatemala,$410.41M,2023
honduras,Export,Germany,$344.41M,2023
honduras,Export,Mexico,$290.50M,2023
honduras,Export,Netherlands,$199.11M,2023
honduras,Export,Dominican Republic,$186.13M,2023
honduras,Export,Belgium,$176.40M,2023
honduras,Export,Italy,$164.94M,2023
jamaica,Export,United States,$1.01B,2023
jamaica,Export,Russia,$138.05M,2023
jamaica,Export,Latvia,$131.07M,2023
jamaica,Export,Iceland,$94.90M,2023
jamaica,Export,United Kingdom,$68.93M,2023
jamaica,Export,Netherlands,$58.96M,2023
jamaica,Export,Guyana,$52.99M,2023
jamaica,Export,Canada,$46.67M,2023
jamaica,Export,Cayman Islands,$36.39M,2023
jamaica,Export,Trinidad And Tobago,$35.91M,2023
nicaragua,Export,United States,$3.71B,2023
nicaragua,Export,Mexico,$1.01B,2023
nicaragua,Export,El Salvador,$482.23M,2023
nicaragua,Export,Canada,$426.73M,2023
nicaragua,Export,Honduras,$368.45M,2023
nicaragua,Export,Costa Rica,$240.07M,2023
nicaragua,Export,Guatemala,$163.24M,2023
nicaragua,Export,Belgium,$88.36M,2023
nicaragua,Export,Panama,$78.11M,2023
nicaragua,Export,United Kingdom,$64.06M,2023
panama,Export,United States,$233.79M,2024
panama,Export,Netherlands,$140.39M,2024
panama,Export,India,$54.49M,2024
panama,Export,China,$49.37M,2024
panama,Export,Costa Rica,$48.13M,2024
panama,Export,Mexico,$46.55M,2024
panama,Export,Denmark,$30.01M,2024
panama,Export,United Kingdom,$25.44M,2024
panama,Export,Guatemala,$21.80M,2024
panama,Export,Switzerland,$20.45M,2024
paraguay,Export,Brazil,$3.53B,2024
paraguay,Export,Argentina,$3.36B,2024
paraguay,Export,Chile,$926.88M,2024
paraguay,Export,United States,$413.79M,2024
paraguay,Export,Russia,$206.97M,2024
paraguay,Export,Peru,$186.10M,2024
paraguay,Export,Uruguay,$167.26M,2024
paraguay,Export,Netherlands,$166.62M,2024
paraguay,Export,Israel,$165.72M,2024
paraguay,Export,India,$98.51M,2024
peru,Export,China,$23.16B,2023
peru,Export,United States,$9.18B,2023
peru,Export,Canada,$2.99B,2023
peru,Export,India,$2.53B,2023
peru,Export,South Korea,$2.34B,2023
peru,Export,Japan,$2.22B,2023
peru,Export,Chile,$1.95B,2023
peru,Export,Spain,$1.88B,2023
peru,Export,Netherlands,$1.80B,2023
peru,Export,Brazil,$1.73B,2023
suriname,Export,United States,$74.07M,2023
suriname,Export,United Arab Emirates,$15.86M,2023
suriname,Export,Paraguay,$14.74M,2023
suriname,Export,Trinidad And Tobago,$11.63M,2023
suriname,Export,Netherlands,$9.89M,2023
suriname,Export,China,$7.15M,2023
suriname,Export,France,$6.47M,2023
suriname,Export,United Kingdom,$5.01M,2023
suriname,Export,South Korea,$1.93M,2023
suriname,Export,Jamaica,$1.90M,2023
trinidad-and-tobago,Export,United States,$2.67B,2023
trinidad-and-tobago,Export,China,$380.19M,2023
trinidad-and-tobago,Export,Guyana,$373.23M,2023
trinidad-and-tobago,Export,Belgium,$353.76M,2023
trinidad-and-tobago,Export,Morocco,$319.45M,2023
trinidad-and-tobago,Export,Netherlands,$302.00M,2023
trinidad-and-tobago,Export,South Korea,$256.17M,2023
trinidad-and-tobago,Export,Jamaica,$225.35M,2023
trinidad-and-tobago,Export,Spain,$216.21M,2023
trinidad-and-tobago,Export,Brazil,$209.68M,2023
uruguay,Export,China,$2.40B,2022
uruguay,Export,Brazil,$1.68B,2022
uruguay,Export,Argentina,$904.30M,2022
uruguay,Export,United States,$695.63M,2022
uruguay,Export,Netherlands,$294.01M,2022
uruguay,Export,Algeria,$228.58M,2022
uruguay,Export,Mexico,$203.69M,2022
uruguay,Export,Chile,$169.54M,2022
uruguay,Export,Paraguay,$144.46M,2022
uruguay,Export,Egypt,$138.52M,2022
venezuela,Export,United States,$550.15M,2013
venezuela,Export,China,$254.07M,2013
venezuela,Export,Colombia,$236.36M,2013
venezuela,Export,Netherlands,$196.40M,2013
venezuela,Export,Brazil,$172.98M,2013
venezuela,Export,Belgium,$79.62M,2013
venezuela,Export,Trinidad And Tobago,$61.60M,2013
venezuela,Export,Chile,$55.58M,2013
venezuela,Export,South Korea,$45.50M,2013
venezuela,Export,Mexico,$42.13M,2013
albania,Export,Italy,$1.88B,2023
albania,Export,Serbia,$505.18M,2023
albania,Export,Greece,$284.74M,2023
albania,Export,Germany,$229.55M,2023
albania,Export,Spain,$187.77M,2023
albania,Export,Macedonia,$158.93M,2023
albania,Export,China,$100.09M,2023
albania,Export,United States,$97.83M,2023
albania,Export,Montenegro,$95.65M,2023
albania,Export,Slovakia,$63.95M,2023
andorra,Export,Spain,$110.95M,2023
andorra,Export,France,$31.64M,2023
andorra,Export,United Kingdom,$10.26M,2023
andorra,Export,United Arab Emirates,$6.61M,2023
andorra,Export,Norway,$4.31M,2023
andorra,Export,Hong Kong,$3.72M,2023
andorra,Export,Turkey,$3.72M,2023
andorra,Export,Italy,$2.57M,2023
andorra,Export,Netherlands,$2.40M,2023
andorra,Export,Algeria,$2.03M,2023
austria,Export,Germany,$62.79B,2023
austria,Export,United States,$15.57B,2023
austria,Export,Italy,$13.17B,2023
austria,Export,Switzerland,$11.16B,2023
austria,Export,Belgium,$8.12B,2023
austria,Export,Poland,$7.86B,2023
austria,Export,France,$7.83B,2023
austria,Export,Czech Republic,$7.77B,2023
austria,Export,Hungary,$7.72B,2023
austria,Export,United Kingdom,$5.89B,2023
belarus,Export,Russia,$13.97B,2021
belarus,Export,Poland,$1.58B,2021
belarus,Export,Ukraine,$1.21B,2021
belarus,Export,Lithuania,$1.19B,2021
belarus,Export,Germany,$790.03M,2021
belarus,Export,Kazakhstan,$764.95M,2021
belarus,Export,China,$556.10M,2021
belarus,Export,Latvia,$467.10M,2021
belarus,Export,Netherlands,$280.31M,2021
belarus,Export,Uzbekistan,$181.64M,2021
belgium,Export,Germany,$57.48B,2024
belgium,Export,Netherlands,$48.80B,2024
belgium,Export,France,$48.03B,2024
belgium,Export,United States,$29.67B,2024
belgium,Export,United Kingdom,$23.86B,2024
belgium,Export,Italy,$17.21B,2024
belgium,Export,Spain,$12.14B,2024
belgium,Export,Poland,$10.81B,2024
belgium,Export,Luxembourg,$6.82B,2024
belgium,Export,China,$6.73B,2024
bosnia-and-herzegovina,Export,Germany,$1.48B,2023
bosnia-and-herzegovina,Export,Croatia,$1.41B,2023
bosnia-and-herzegovina,Export,Serbia,$1.22B,2023
bosnia-and-herzegovina,Export,Austria,$948.00M,2023
bosnia-and-herzegovina,Export,Italy,$800.88M,2023
bosnia-and-herzegovina,Export,Slovenia,$749.46M,2023
bosnia-and-herzegovina,Export,Montenegro,$381.43M,2023
bosnia-and-herzegovina,Export,Netherlands,$229.93M,2023
bosnia-and-herzegovina,Export,France,$185.91M,2023
bosnia-and-herzegovina,Export,Hungary,$159.25M,2023
bulgaria,Export,Germany,$6.55B,2023
bulgaria,Export,Romania,$4.41B,2023
bulgaria,Export,Italy,$3.44B,2023
bulgaria,Export,Turkey,$2.76B,2023
bulgaria,Export,Greece,$2.65B,2023
bulgaria,Export,France,$1.57B,2023
bulgaria,Export,Belgium,$1.51B,2023
bulgaria,Export,Spain,$1.25B,2023
bulgaria,Export,Serbia,$1.17B,2023
bulgaria,Export,United States,$1.14B,2023
croatia,Export,Italy,$3.01B,2023
croatia,Export,Germany,$3.01B,2023
croatia,Export,Slovenia,$2.76B,2023
croatia,Export,Bosnia And Herzegovina,$2.49B,2023
croatia,Export,Hungary,$1.69B,2023
croatia,Export,Serbia,$1.55B,2023
croatia,Export,Austria,$1.38B,2023
croatia,Export,United States,$632.56M,2023
croatia,Export,France,$628.56M,2023
croatia,Export,Poland,$606.71M,2023
cyprus,Export,Libya,$775.25M,2023
cyprus,Export,Lebanon,$481.04M,2023
cyprus,Export,Bermuda,$402.96M,2023
cyprus,Export,Greece,$304.76M,2023
cyprus,Export,Marshall Islands,$293.56M,2023
cyprus,Export,United Kingdom,$237.77M,2023
cyprus,Export,Liberia,$224.52M,2023
cyprus,Export,Hong Kong,$174.12M,2023
cyprus,Export,Nigeria,$156.13M,2023
cyprus,Export,United States,$147.84M,2023
czech-republic,Export,Germany,$83.52B,2024
czech-republic,Export,Slovakia,$19.35B,2024
czech-republic,Export,Poland,$19.31B,2024
czech-republic,Export,France,$12.11B,2024
czech-republic,Export,United Kingdom,$10.94B,2024
czech-republic,Export,Austria,$10.43B,2024
czech-republic,Export,Italy,$10.18B,2024
czech-republic,Export,Hungary,$9.12B,2024
czech-republic,Export,Netherlands,$8.31B,2024
czech-republic,Export,United States,$6.78B,2024
denmark,Export,Germany,$18.08B,2024
denmark,Export,Sweden,$10.59B,2024
denmark,Export,Netherlands,$7.85B,2024
denmark,Export,United States,$7.12B,2024
denmark,Export,Norway,$7.03B,2024
denmark,Export,United Kingdom,$5.73B,2024
denmark,Export,Poland,$5.29B,2024
denmark,Export,France,$4.51B,2024
denmark,Export,China,$3.21B,2024
denmark,Export,Italy,$2.66B,2024
estonia,Export,Finland,$3.01B,2024
estonia,Export,Latvia,$2.12B,2024
estonia,Export,Sweden,$1.69B,2024
estonia,Export,Lithuania,$1.54B,2024
estonia,Export,Germany,$1.39B,2024
estonia,Export,Russia,$1.03B,2024
estonia,Export,United States,$794.23M,2024
estonia,Export,Netherlands,$736.30M,2024
estonia,Export,Poland,$697.24M,2024
estonia,Export,Norway,$622.54M,2024
finland,Export,Germany,$8.73B,2024
finland,Export,Sweden,$8.67B,2024
finland,Export,United States,$7.50B,2024
finland,Export,Netherlands,$5.89B,2024
finland,Export,China,$3.71B,2024
finland,Export,Estonia,$2.70B,2024
finland,Export,Poland,$2.63B,2024
finland,Export,Belgium,$2.60B,2024
finland,Export,United Kingdom,$2.58B,2024
finland,Export,Norway,$2.53B,2024
