Country,Year,GDP,Per Capita,Growth
china,1963,$50.71B,$74 ,10.30%
china,1962,$47.21B,$71 ,-5.58%
china,1961,$50.06B,$76 ,-27.27%
china,1960,$59.72B,$90 ,%
germany,2023,"$4,456.08B","$52,746 ",-0.30%
germany,2022,"$4,082.47B","$48,718 ",1.81%
germany,2021,"$4,278.50B","$51,427 ",3.16%
germany,2020,"$3,887.73B","$46,749 ",-3.83%
germany,2019,"$3,889.18B","$46,805 ",1.08%
germany,2018,"$3,974.44B","$47,939 ",0.98%
germany,2017,"$3,690.85B","$44,653 ",2.68%
germany,2016,"$3,469.85B","$42,136 ",2.23%
germany,2015,"$3,357.59B","$41,103 ",1.49%
germany,2014,"$3,889.09B","$48,024 ",2.21%
germany,2013,"$3,733.80B","$46,299 ",0.44%
germany,2012,"$3,527.14B","$43,856 ",0.42%
germany,2011,"$3,749.31B","$46,706 ",3.93%
germany,2010,"$3,399.67B","$41,572 ",4.18%
germany,2009,"$3,411.26B","$41,650 ",-5.69%
germany,2008,"$3,745.26B","$45,613 ",0.96%
germany,2007,"$3,425.58B","$41,640 ",2.98%
germany,2006,"$2,994.70B","$36,354 ",3.82%
germany,2005,"$2,846.86B","$34,520 ",0.73%
germany,2004,"$2,814.35B","$34,107 ",1.18%
germany,2003,"$2,501.64B","$30,310 ",-0.70%
germany,2002,"$2,078.48B","$25,197 ",-0.20%
germany,2001,"$1,945.79B","$23,628 ",1.68%
germany,2000,"$1,947.98B","$23,695 ",2.91%
germany,1999,"$2,194.95B","$26,735 ",1.89%
germany,1998,"$2,238.99B","$27,289 ",2.01%
germany,1997,"$2,211.99B","$26,964 ",1.79%
germany,1996,"$2,497.24B","$30,486 ",0.81%
germany,1995,"$2,585.79B","$31,658 ",1.54%
germany,1994,"$2,205.07B","$27,077 ",2.39%
germany,1993,"$2,071.32B","$25,523 ",-0.98%
germany,1992,"$2,131.57B","$26,438 ",1.92%
germany,1991,"$1,868.95B","$23,358 ",5.11%
germany,1990,"$1,771.67B","$22,304 ",5.26%
germany,1989,"$1,398.97B","$17,764 ",3.90%
germany,1988,"$1,401.23B","$17,931 ",3.71%
germany,1987,"$1,298.18B","$16,678 ",1.40%
germany,1986,"$1,046.26B","$13,462 ",2.29%
germany,1985,$732.53B,"$9,430 ",2.33%
germany,1984,$725.11B,"$9,313 ",2.82%
germany,1983,$770.68B,"$9,864 ",1.57%
germany,1982,$776.58B,"$9,914 ",-0.39%
germany,1981,$800.47B,"$10,209 ",0.53%
germany,1980,$950.29B,"$12,138 ",1.41%
germany,1979,$881.35B,"$11,281 ",4.15%
germany,1978,$740.47B,"$9,482 ",3.01%
germany,1977,$600.50B,"$7,683 ",3.35%
germany,1976,$519.75B,"$6,635 ",4.95%
germany,1975,$490.64B,"$6,236 ",-0.87%
germany,1974,$445.30B,"$5,639 ",0.89%
germany,1973,$398.37B,"$5,047 ",4.78%
germany,1972,$299.80B,"$3,810 ",4.30%
germany,1971,$249.99B,"$3,192 ",3.13%
germany,1970,$215.84B,"$2,761 ",5.10%
germany,1969,$177.08B,"$2,273 ",7.42%
germany,1968,$155.96B,"$2,018 ",5.67%
germany,1967,$144.57B,"$1,879 ",-0.33%
germany,1966,$142.78B,"$1,864 ",2.81%
germany,1965,$134.28B,"$1,768 ",5.24%
germany,1964,$122.88B,"$1,631 ",6.64%
germany,1963,$111.82B,"$1,497 ",2.74%
germany,1962,$105.51B,"$1,425 ",4.62%
germany,1961,$96.21B,"$1,311 ",4.30%
germany,1960,$84.31B,"$1,158 ",%
japan,2023,"$4,212.95B","$33,834 ",1.92%
japan,2022,"$4,256.41B","$34,017 ",0.95%
japan,2021,"$5,034.62B","$40,059 ",2.56%
japan,2020,"$5,055.59B","$40,041 ",-4.15%
japan,2019,"$5,117.99B","$40,416 ",-0.40%
japan,2018,"$5,040.88B","$39,751 ",0.64%
japan,2017,"$4,930.84B","$38,834 ",1.68%
japan,2016,"$5,003.68B","$39,375 ",0.75%
japan,2015,"$4,444.93B","$34,961 ",1.56%
japan,2014,"$4,896.99B","$38,475 ",0.30%
japan,2013,"$5,212.33B","$40,899 ",2.01%
japan,2012,"$6,272.36B","$49,145 ",1.37%
japan,2011,"$6,233.15B","$48,760 ",0.02%
japan,2010,"$5,759.07B","$44,968 ",4.10%
japan,2009,"$5,289.49B","$41,309 ",-5.69%
japan,2008,"$5,106.68B","$39,876 ",-1.22%
japan,2007,"$4,579.75B","$35,779 ",1.48%
japan,2006,"$4,601.66B","$35,992 ",1.37%
japan,2005,"$4,831.47B","$37,813 ",1.80%
japan,2004,"$4,893.12B","$38,299 ",2.19%
japan,2003,"$4,519.56B","$35,387 ",1.54%
japan,2002,"$4,182.85B","$32,821 ",0.04%
japan,2001,"$4,374.71B","$34,406 ",0.39%
japan,2000,"$4,968.36B","$39,169 ",2.76%
japan,1999,"$4,635.98B","$36,610 ",-0.33%
japan,1998,"$4,098.36B","$32,424 ",-1.27%
japan,1997,"$4,492.45B","$35,638 ",0.98%
japan,1996,"$4,923.39B","$39,150 ",3.13%
japan,1995,"$5,545.56B","$44,198 ",2.63%
japan,1994,"$4,998.80B","$39,934 ",1.08%
japan,1993,"$4,536.94B","$36,345 ",-0.46%
japan,1992,"$3,980.70B","$31,993 ",0.90%
japan,1991,"$3,648.07B","$29,428 ",3.52%
japan,1990,"$3,185.90B","$25,801 ",4.84%
japan,1989,"$3,109.46B","$25,266 ",4.93%
japan,1988,"$3,125.72B","$25,500 ",6.66%
japan,1987,"$2,580.75B","$21,142 ",4.65%
japan,1986,"$2,120.08B","$17,452 ",3.29%
japan,1985,"$1,427.02B","$11,809 ",5.16%
japan,1984,"$1,345.82B","$11,207 ",4.41%
japan,1983,"$1,270.86B","$10,652 ",3.63%
japan,1982,"$1,158.73B","$9,780 ",3.28%
japan,1981,"$1,245.22B","$10,583 ",4.26%
japan,1980,"$1,129.38B","$9,669 ",2.82%
japan,1979,"$1,077.91B","$9,301 ",5.48%
japan,1978,"$1,035.61B","$9,012 ",5.27%
japan,1977,$737.07B,"$6,473 ",4.39%
japan,1976,$598.88B,"$5,310 ",3.98%
japan,1975,$532.86B,"$4,776 ",3.09%
japan,1974,$490.04B,"$4,448 ",-1.23%
japan,1973,$441.46B,"$4,061 ",8.03%
japan,1972,$324.93B,"$3,031 ",8.41%
japan,1971,$245.36B,"$2,321 ",4.70%
japan,1970,$217.22B,"$2,101 ",0.40%
japan,1969,$184.30B,"$1,803 ",12.48%
japan,1968,$156.90B,"$1,553 ",12.88%
japan,1967,$132.48B,"$1,326 ",11.08%
japan,1966,$113.05B,"$1,144 ",10.64%
japan,1965,$97.34B,$994 ,5.82%
japan,1964,$87.49B,$903 ,11.68%
japan,1963,$74.38B,$776 ,8.47%
japan,1962,$64.99B,$685 ,8.91%
japan,1961,$57.27B,$609 ,12.04%
japan,1960,$47.42B,$509 ,%
india,2023,"$3,549.92B","$2,485 ",7.58%
india,2022,"$3,353.47B","$2,366 ",6.99%
india,2021,"$3,167.27B","$2,250 ",9.69%
india,2020,"$2,674.85B","$1,916 ",-5.78%
india,2019,"$2,835.61B","$2,050 ",3.87%
india,2018,"$2,702.93B","$1,974 ",6.45%
india,2017,"$2,651.47B","$1,958 ",6.80%
india,2016,"$2,294.80B","$1,714 ",8.26%
india,2015,"$2,103.59B","$1,590 ",8.00%
india,2014,"$2,039.13B","$1,560 ",7.41%
india,2013,"$1,856.72B","$1,438 ",6.39%
india,2012,"$1,827.64B","$1,434 ",5.46%
india,2011,"$1,823.05B","$1,450 ",5.24%
india,2010,"$1,675.62B","$1,351 ",8.50%
india,2009,"$1,341.89B","$1,097 ",7.86%
india,2008,"$1,198.90B",$994 ,3.09%
india,2007,"$1,216.74B","$1,023 ",7.66%
india,2006,$940.26B,$802 ,8.06%
india,2005,$820.38B,$711 ,7.92%
india,2004,$709.15B,$624 ,7.92%
india,2003,$607.70B,$544 ,7.86%
india,2002,$514.94B,$469 ,3.80%
india,2001,$485.44B,$450 ,4.82%
india,2000,$468.40B,$442 ,3.84%
india,1999,$458.82B,$441 ,8.85%
india,1998,$421.35B,$413 ,6.18%
india,1997,$415.87B,$415 ,4.05%
india,1996,$392.90B,$400 ,7.55%
india,1995,$360.28B,$374 ,7.57%
india,1994,$327.27B,$346 ,6.66%
india,1993,$279.30B,$302 ,4.75%
india,1992,$288.21B,$318 ,5.48%
india,1991,$270.11B,$304 ,1.06%
india,1990,$320.98B,$369 ,5.53%
india,1989,$296.04B,$347 ,5.95%
india,1988,$296.59B,$356 ,9.63%
india,1987,$279.03B,$342 ,3.97%
india,1986,$248.99B,$312 ,4.78%
india,1985,$232.51B,$298 ,5.25%
india,1984,$212.16B,$278 ,3.82%
india,1983,$218.26B,$293 ,7.29%
india,1982,$200.72B,$275 ,3.48%
india,1981,$193.49B,$271 ,6.01%
india,1980,$186.33B,$267 ,6.74%
india,1979,$153.00B,$225 ,-5.24%
india,1978,$137.30B,$206 ,5.71%
india,1977,$121.49B,$186 ,7.25%
india,1976,$102.72B,$161 ,1.66%
india,1975,$98.47B,$158 ,9.15%
india,1974,$99.53B,$163 ,1.19%
india,1973,$85.52B,$143 ,3.30%
india,1972,$71.46B,$123 ,-0.55%
india,1971,$67.35B,$118 ,1.64%
india,1970,$62.42B,$112 ,5.16%
india,1969,$58.45B,$107 ,6.54%
india,1968,$53.09B,$100 ,3.39%
india,1967,$50.13B,$96 ,7.83%
india,1966,$45.58B,$89 ,-0.06%
india,1965,$59.56B,$119 ,-2.64%
india,1964,$56.48B,$115 ,7.45%
india,1963,$48.42B,$101 ,5.99%
india,1962,$42.16B,$90 ,2.93%
india,1961,$39.23B,$86 ,3.72%
india,1960,$37.03B,$83 ,%
united-kingdom,2023,"$3,340.03B","$48,867 ",0.10%
united-kingdom,2022,"$3,088.84B","$45,564 ",4.35%
united-kingdom,2021,"$3,141.51B","$46,870 ",8.67%
united-kingdom,2020,"$2,697.81B","$40,217 ",-10.36%
united-kingdom,2019,"$2,851.41B","$42,663 ",1.64%
united-kingdom,2018,"$2,871.34B","$43,204 ",1.40%
united-kingdom,2017,"$2,680.15B","$40,572 ",2.66%
united-kingdom,2016,"$2,689.11B","$40,985 ",1.92%
united-kingdom,2015,"$2,927.91B","$44,964 ",2.22%
united-kingdom,2014,"$3,064.71B","$47,440 ",3.20%
united-kingdom,2013,"$2,784.85B","$43,426 ",1.79%
united-kingdom,2012,"$2,707.09B","$42,497 ",1.51%
united-kingdom,2011,"$2,663.81B","$42,110 ",1.15%
united-kingdom,2010,"$2,485.48B","$39,599 ",2.24%
united-kingdom,2009,"$2,412.84B","$38,744 ",-4.62%
united-kingdom,2008,"$2,929.41B","$47,396 ",-0.23%
united-kingdom,2007,"$3,090.51B","$50,398 ",2.62%
united-kingdom,2006,"$2,708.44B","$44,512 ",2.39%
united-kingdom,2005,"$2,543.18B","$42,105 ",2.74%
united-kingdom,2004,"$2,421.53B","$40,367 ",2.43%
united-kingdom,2003,"$2,054.42B","$34,443 ",3.15%
united-kingdom,2002,"$1,785.73B","$30,078 ",1.79%
united-kingdom,2001,"$1,649.83B","$27,907 ",2.58%
united-kingdom,2000,"$1,665.53B","$28,281 ",4.32%
united-kingdom,1999,"$1,687.83B","$28,762 ",3.07%
united-kingdom,1998,"$1,653.69B","$28,275 ",3.41%
united-kingdom,1997,"$1,560.91B","$26,766 ",4.92%
united-kingdom,1996,"$1,419.65B","$24,406 ",2.58%
united-kingdom,1995,"$1,344.24B","$23,169 ",2.53%
united-kingdom,1994,"$1,140.49B","$19,709 ",3.85%
united-kingdom,1993,"$1,061.39B","$18,389 ",2.49%
united-kingdom,1992,"$1,179.66B","$20,487 ",0.40%
united-kingdom,1991,"$1,142.80B","$19,901 ",-1.10%
united-kingdom,1990,"$1,093.17B","$19,095 ",0.73%
united-kingdom,1989,$926.88B,"$16,239 ",2.58%
united-kingdom,1988,$910.12B,"$15,987 ",5.73%
united-kingdom,1987,$745.16B,"$13,119 ",5.39%
united-kingdom,1986,$601.45B,"$10,611 ",3.15%
united-kingdom,1985,$489.29B,"$8,652 ",4.15%
united-kingdom,1984,$461.49B,"$8,179 ",2.27%
united-kingdom,1983,$489.62B,"$8,692 ",4.22%
united-kingdom,1982,$515.05B,"$9,146 ",1.99%
united-kingdom,1981,$540.77B,"$9,599 ",-0.79%
united-kingdom,1980,$564.95B,"$10,032 ",-2.03%
united-kingdom,1979,$438.99B,"$7,805 ",3.75%
united-kingdom,1978,$335.88B,"$5,977 ",4.20%
united-kingdom,1977,$263.07B,"$4,681 ",2.46%
united-kingdom,1976,$232.61B,"$4,138 ",2.91%
united-kingdom,1975,$241.76B,"$4,300 ",-1.47%
united-kingdom,1974,$206.13B,"$3,666 ",-2.48%
united-kingdom,1973,$192.54B,"$3,426 ",6.52%
united-kingdom,1972,$169.97B,"$3,030 ",4.32%
united-kingdom,1971,$148.11B,"$2,650 ",3.50%
united-kingdom,1970,$130.67B,"$2,348 ",2.71%
united-kingdom,1969,$116.46B,"$2,101 ",1.94%
united-kingdom,1968,$107.76B,"$1,952 ",5.47%
united-kingdom,1967,$113.12B,"$2,059 ",2.78%
united-kingdom,1966,$108.57B,"$1,987 ",1.57%
united-kingdom,1965,$101.82B,"$1,874 ",2.13%
united-kingdom,1964,$94.41B,"$1,748 ",5.59%
united-kingdom,1963,$86.56B,"$1,613 ",4.86%
united-kingdom,1962,$81.25B,"$1,526 ",1.10%
united-kingdom,1961,$77.74B,"$1,472 ",2.70%
united-kingdom,1960,$73.23B,"$1,398 ",%
france,2023,"$3,030.90B","$44,461 ",0.70%
france,2022,"$2,779.09B","$40,886 ",2.45%
france,2021,"$2,959.36B","$43,671 ",6.44%
france,2020,"$2,647.42B","$39,180 ",-7.54%
france,2019,"$2,728.87B","$40,495 ",1.84%
france,2018,"$2,790.96B","$41,558 ",1.87%
france,2017,"$2,595.15B","$38,781 ",2.29%
france,2016,"$2,472.96B","$37,063 ",1.10%
france,2015,"$2,439.19B","$36,653 ",1.11%
france,2014,"$2,855.96B","$43,069 ",0.96%
france,2013,"$2,811.88B","$42,603 ",0.58%
france,2012,"$2,683.67B","$40,871 ",0.31%
france,2011,"$2,865.16B","$43,846 ",2.19%
france,2010,"$2,645.19B","$40,676 ",1.95%
france,2009,"$2,700.89B","$41,738 ",-2.87%
france,2008,"$2,930.30B","$45,516 ",0.25%
france,2007,"$2,660.59B","$41,558 ",2.42%
france,2006,"$2,320.54B","$36,470 ",2.45%
france,2005,"$2,196.95B","$34,768 ",1.66%
france,2004,"$2,119.63B","$33,797 ",2.83%
france,2003,"$1,844.54B","$29,628 ",0.82%
france,2002,"$1,501.41B","$24,288 ",1.14%
france,2001,"$1,377.66B","$22,449 ",1.98%
france,2000,"$1,365.64B","$22,416 ",3.92%
france,1999,"$1,493.15B","$24,678 ",3.42%
france,1998,"$1,503.11B","$24,972 ",3.59%
france,1997,"$1,452.88B","$24,227 ",2.34%
france,1996,"$1,605.68B","$26,870 ",1.41%
france,1995,"$1,601.09B","$26,889 ",2.11%
france,1994,"$1,393.98B","$23,496 ",2.36%
france,1993,"$1,322.82B","$22,380 ",-0.63%
france,1992,"$1,401.47B","$23,814 ",1.60%
france,1991,"$1,269.28B","$21,676 ",1.05%
france,1990,"$1,269.18B","$21,866 ",2.92%
france,1989,"$1,025.21B","$17,748 ",4.34%
france,1988,"$1,018.85B","$17,728 ",4.74%
france,1987,$934.17B,"$16,341 ",2.56%
france,1986,$771.47B,"$13,567 ",2.34%
france,1985,$553.14B,"$9,778 ",1.62%
france,1984,$530.68B,"$9,430 ",1.51%
france,1983,$559.87B,"$9,999 ",1.24%
france,1982,$584.88B,"$10,502 ",2.51%
france,1981,$615.55B,"$11,117 ",1.07%
france,1980,$701.29B,"$12,739 ",1.58%
france,1979,$613.95B,"$11,213 ",3.55%
france,1978,$506.71B,"$9,300 ",3.98%
france,1977,$410.28B,"$7,567 ",3.46%
france,1976,$372.32B,"$6,899 ",4.36%
france,1975,$360.83B,"$6,717 ",-0.96%
france,1974,$285.55B,"$5,346 ",4.30%
france,1973,$264.43B,"$4,984 ",6.34%
france,1972,$203.49B,"$3,866 ",4.51%
france,1971,$165.97B,"$3,180 ",5.32%
france,1970,$148.46B,"$2,870 ",6.11%
france,1969,$141.90B,"$2,768 ",7.11%
france,1968,$129.79B,"$2,554 ",4.49%
france,1967,$118.97B,"$2,364 ",4.92%
france,1966,$110.05B,"$2,209 ",5.25%
france,1965,$101.54B,"$2,060 ",4.86%
france,1964,$94.01B,"$1,929 ",6.65%
france,1963,$84.76B,"$1,759 ",6.23%
france,1962,$75.61B,"$1,586 ",6.84%
france,1961,$67.46B,"$1,430 ",4.98%
france,1960,$62.23B,"$1,334 ",%
italy,2023,"$2,254.85B","$38,373 ",0.92%
italy,2022,"$2,066.97B","$35,069 ",3.99%
italy,2021,"$2,154.88B","$36,441 ",8.31%
italy,2020,"$1,897.46B","$31,923 ",-8.97%
italy,2019,"$2,011.30B","$33,674 ",0.48%
italy,2018,"$2,091.93B","$34,622 ",0.93%
italy,2017,"$1,961.80B","$32,407 ",1.67%
italy,2016,"$1,877.07B","$30,961 ",1.29%
italy,2015,"$1,836.64B","$30,242 ",0.78%
italy,2014,"$2,162.01B","$35,566 ",0.00%
italy,2013,"$2,141.92B","$35,560 ",-1.84%
italy,2012,"$2,086.96B","$35,052 ",-2.98%
italy,2011,"$2,294.99B","$38,650 ",0.71%
italy,2010,"$2,136.10B","$36,036 ",1.71%
italy,2009,"$2,199.93B","$37,227 ",-5.28%
italy,2008,"$2,408.66B","$40,945 ",-0.96%
italy,2007,"$2,213.10B","$37,871 ",1.49%
italy,2006,"$1,949.55B","$33,530 ",1.79%
italy,2005,"$1,858.22B","$32,055 ",0.82%
italy,2004,"$1,806.54B","$31,317 ",1.42%
italy,2003,"$1,577.62B","$27,526 ",0.14%
italy,2002,"$1,276.77B","$22,376 ",0.25%
italy,2001,"$1,168.02B","$20,501 ",1.95%
italy,2000,"$1,146.68B","$20,138 ",3.79%
italy,1999,"$1,252.45B","$22,005 ",1.63%
italy,1998,"$1,270.05B","$22,318 ",1.81%
italy,1997,"$1,241.88B","$21,829 ",1.83%
italy,1996,"$1,312.43B","$23,082 ",1.27%
italy,1995,"$1,174.66B","$20,665 ",2.89%
italy,1994,"$1,099.22B","$19,338 ",2.15%
italy,1993,"$1,064.96B","$18,739 ",-0.85%
italy,1992,"$1,320.16B","$23,243 ",0.83%
italy,1991,"$1,246.22B","$21,957 ",1.54%
italy,1990,"$1,181.22B","$20,826 ",1.99%
italy,1989,$928.66B,"$16,387 ",3.39%
italy,1988,$891.61B,"$15,745 ",4.19%
italy,1987,$805.71B,"$14,235 ",3.19%
italy,1986,$640.39B,"$11,315 ",2.86%
italy,1985,$452.22B,"$7,991 ",2.80%
italy,1984,$437.89B,"$7,740 ",3.23%
italy,1983,$443.04B,"$7,833 ",1.17%
italy,1982,$427.27B,"$7,557 ",0.41%
italy,1981,$430.70B,"$7,623 ",0.84%
italy,1980,$477.26B,"$8,457 ",3.43%
italy,1979,$393.68B,"$6,990 ",5.96%
italy,1978,$315.06B,"$5,610 ",3.24%
italy,1977,$257.60B,"$4,604 ",2.56%
italy,1976,$224.72B,"$4,033 ",7.13%
italy,1975,$227.70B,"$4,107 ",-2.09%
italy,1974,$199.56B,"$3,621 ",5.50%
italy,1973,$175.49B,"$3,205 ",7.13%
italy,1972,$145.26B,"$2,671 ",3.69%
italy,1971,$124.67B,"$2,306 ",1.82%
italy,1970,$113.40B,"$2,107 ",5.31%
italy,1969,$100.76B,"$1,882 ",6.10%
italy,1968,$91.28B,"$1,715 ",6.54%
italy,1967,$84.21B,"$1,592 ",7.18%
italy,1966,$76.45B,"$1,456 ",5.98%
italy,1965,$70.55B,"$1,354 ",3.27%
italy,1964,$65.57B,"$1,269 ",2.80%
italy,1963,$59.90B,"$1,169 ",5.61%
italy,1962,$52.29B,"$1,028 ",6.20%
italy,1961,$46.54B,$921 ,8.21%
italy,1960,$41.92B,$835 ,%
brazil,,$B,,-0.06%
brazil,,$B,,3.53%
brazil,,$B,,7.49%
brazil,,$B,,7.85%
brazil,,$B,,5.40%
brazil,,$B,,-2.93%
brazil,,$B,,0.83%
brazil,,$B,,-4.25%
brazil,,$B,,9.20%
brazil,,$B,,6.76%
brazil,,$B,,4.97%
brazil,,$B,,4.93%
brazil,,$B,,10.26%
brazil,,$B,,5.17%
brazil,,$B,,8.15%
brazil,,$B,,13.97%
brazil,,$B,,11.94%
brazil,,$B,,11.34%
brazil,,$B,,10.40%
brazil,,$B,,9.50%
brazil,,$B,,9.80%
brazil,,$B,,4.20%
brazil,,$B,,6.70%
brazil,,$B,,2.40%
brazil,,$B,,3.40%
brazil,,$B,,0.60%
brazil,,$B,,6.60%
brazil,,$B,,8.60%
brazil,2023,"$2,173.67B","$10,044 ",2.91%
brazil,2022,"$1,951.92B","$9,065 ",3.02%
brazil,2021,"$1,670.65B","$7,795 ",4.76%
brazil,2020,"$1,476.11B","$6,924 ",-3.28%
brazil,2019,"$1,873.29B","$8,845 ",1.22%
brazil,2018,"$1,916.93B","$9,121 ",1.78%
brazil,2017,"$2,063.51B","$9,897 ",1.32%
brazil,2016,"$1,795.69B","$8,681 ",-3.28%
brazil,2015,"$1,802.21B","$8,783 ",-3.55%
brazil,2014,"$2,456.04B","$12,071 ",0.50%
brazil,2013,"$2,472.82B","$12,259 ",3.00%
