Country,Trade Type,Category,Value,Year
bahamas,Export,"Ships, boats, and other floating structures",$126.94M,2023
bahamas,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$67.52M,2023
bahamas,Export,Plastics,$46.71M,2023
bahamas,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$41.13M,2023
bahamas,Export,"Machinery, nuclear reactors, boilers",$31.51M,2023
bahamas,Export,"Electrical, electronic equipment",$16.46M,2023
bahamas,Export,Articles of iron or steel,$12.19M,2023
bahamas,Export,"Toys, games, sports requisites",$12.07M,2023
barbados,Export,"Mineral fuels, oils, distillation products",$186.00M,2023
barbados,Export,"Beverages, spirits and vinegar",$65.66M,2023
barbados,Export,Pharmaceutical products,$29.65M,2023
barbados,Export,"Paper and paperboard, articles of pulp, paper and board",$17.25M,2023
barbados,Export,"Animal, vegetable fats and oils, cleavage products",$17.16M,2023
barbados,Export,"Cereal, flour, starch, milk preparations and products",$15.62M,2023
barbados,Export,"Pearls, precious stones, metals, coins",$15.29M,2023
barbados,Export,Miscellaneous chemical products,$11.05M,2023
barbados,Export,Iron and steel,$9.80M,2023
barbados,Export,"Electrical, electronic equipment",$8.44M,2023
belize,Export,Sugars and sugar confectionery,$84.84M,2022
belize,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$41.03M,2022
belize,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$27.10M,2022
belize,Export,"Residues, wastes of food industry, animal fodder",$25.24M,2022
belize,Export,"Mineral fuels, oils, distillation products",$22.41M,2022
belize,Export,Tobacco and manufactures tobacco substitutes,$16.65M,2022
belize,Export,"Vegetable, fruit, nut food preparations",$16.59M,2022
belize,Export,Edible vegetables and certain roots and tubers,$7.21M,2022
belize,Export,"Wood and articles of wood, wood charcoal",$5.74M,2022
belize,Export,Live animals,$3.93M,2022
bermuda,Export,Commodities not specified according to kind,$6.07M,2023
bermuda,Export,"Beverages, spirits and vinegar",$3.96M,2023
bermuda,Export,"Ships, boats, and other floating structures",$2.60M,2023
bermuda,Export,"Electrical, electronic equipment",$2.55M,2023
bermuda,Export,"Optical, photo, technical, medical apparatus",$2.19M,2023
bermuda,Export,"Machinery, nuclear reactors, boilers",$2.13M,2023
bermuda,Export,"Aircraft, spacecraft",$536.40K,2023
bermuda,Export,"Pearls, precious stones, metals, coins",$534.78K,2023
bermuda,Export,Miscellaneous articles of base metal,$319.63K,2023
bermuda,Export,"Vehicles other than railway, tramway",$319.16K,2023
bolivia,Export,"Pearls, precious stones, metals, coins",$2.61B,2023
bolivia,Export,Ores slag and ash,$2.52B,2023
bolivia,Export,"Mineral fuels, oils, distillation products",$2.13B,2023
bolivia,Export,"Residues, wastes of food industry, animal fodder",$960.22M,2023
bolivia,Export,"Animal, vegetable fats and oils, cleavage products",$693.67M,2023
bolivia,Export,Tin,$394.67M,2023
bolivia,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$331.91M,2023
bolivia,Export,Meat and edible meat offal,$189.23M,2023
bolivia,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$160.25M,2023
bolivia,Export,Fertilizers,$97.94M,2023
brazil,Export,"Mineral fuels, oils, distillation products",$57.16B,2024
brazil,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$43.83B,2024
brazil,Export,Ores slag and ash,$35.04B,2024
brazil,Export,Meat and edible meat offal,$24.55B,2024
brazil,Export,Sugars and sugar confectionery,$18.84B,2024
brazil,Export,"Machinery, nuclear reactors, boilers",$12.98B,2024
brazil,Export,Iron and steel,$11.92B,2024
brazil,Export,"Vehicles other than railway, tramway",$11.89B,2024
brazil,Export,"Coffee, tea, mate and spices",$11.85B,2024
brazil,Export,"Residues, wastes of food industry, animal fodder",$10.70B,2024
canada,Export,"Mineral fuels, oils, distillation products",$143.43B,2023
canada,Export,"Vehicles other than railway, tramway",$63.68B,2023
canada,Export,"Machinery, nuclear reactors, boilers",$42.46B,2023
canada,Export,"Pearls, precious stones, metals, coins",$26.74B,2023
canada,Export,Commodities not specified according to kind,$22.05B,2023
canada,Export,"Electrical, electronic equipment",$16.01B,2023
canada,Export,Plastics,$15.51B,2023
canada,Export,"Wood and articles of wood, wood charcoal",$13.38B,2023
canada,Export,Aluminum,$12.59B,2023
canada,Export,"Aircraft, spacecraft",$11.77B,2023
cayman-islands,Export,"Mineral fuels, oils, distillation products",$15.86M,2023
cayman-islands,Export,Commodities not specified according to kind,$8.30M,2023
cayman-islands,Export,"Electrical, electronic equipment",$6.13M,2023
cayman-islands,Export,"Beverages, spirits and vinegar",$2.92M,2023
cayman-islands,Export,"Coffee, tea, mate and spices",$2.30M,2023
cayman-islands,Export,"Optical, photo, technical, medical apparatus",$1.83M,2023
cayman-islands,Export,"Machinery, nuclear reactors, boilers",$1.57M,2023
cayman-islands,Export,Iron and steel,$1.19M,2023
cayman-islands,Export,Miscellaneous edible preparations,$1.02M,2023
cayman-islands,Export,"Ships, boats, and other floating structures",$937.39K,2023
chile,Export,Ores slag and ash,$28.55B,2023
chile,Export,Copper,$19.72B,2023
chile,Export,"Inorganic chemicals, precious metal compound, isotope",$9.55B,2023
chile,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$7.31B,2023
chile,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$7.07B,2023
chile,Export,"Pulp of wood, fibrous cellulosic material, waste",$2.67B,2023
chile,Export,"Wood and articles of wood, wood charcoal",$2.21B,2023
chile,Export,"Mineral fuels, oils, distillation products",$1.71B,2023
chile,Export,"Beverages, spirits and vinegar",$1.56B,2023
chile,Export,"Pearls, precious stones, metals, coins",$1.55B,2023
colombia,Export,"Mineral fuels, oils, distillation products",$25.25B,2023
colombia,Export,"Pearls, precious stones, metals, coins",$3.62B,2023
colombia,Export,"Coffee, tea, mate and spices",$2.93B,2023
colombia,Export,"Live trees, plants, bulbs, roots, cut flowers",$2.12B,2023
colombia,Export,Plastics,$1.55B,2023
colombia,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$1.35B,2023
colombia,Export,"Animal, vegetable fats and oils, cleavage products",$851.08M,2023
colombia,Export,Aluminum,$842.58M,2023
colombia,Export,"Electrical, electronic equipment",$787.69M,2023
colombia,Export,Sugars and sugar confectionery,$744.24M,2023
costa-rica,Export,"Optical, photo, technical, medical apparatus",$7.61B,2023
costa-rica,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$2.53B,2023
costa-rica,Export,Miscellaneous edible preparations,$1.01B,2023
costa-rica,Export,"Electrical, electronic equipment",$804.76M,2023
costa-rica,Export,Plastics,$519.99M,2023
costa-rica,Export,"Vegetable, fruit, nut food preparations",$440.22M,2023
costa-rica,Export,Pharmaceutical products,$412.51M,2023
costa-rica,Export,"Coffee, tea, mate and spices",$359.35M,2023
costa-rica,Export,Rubbers,$348.28M,2023
costa-rica,Export,"Animal, vegetable fats and oils, cleavage products",$312.63M,2023
cuba,Export,Nickel,$961.00M,2022
cuba,Export,"Beverages, spirits and vinegar",$264.77M,2022
cuba,Export,Tobacco and manufactures tobacco substitutes,$229.96M,2022
cuba,Export,"Mineral fuels, oils, distillation products",$142.83M,2022
cuba,Export,Zinc,$102.67M,2022
cuba,Export,Pharmaceutical products,$101.17M,2022
cuba,Export,Sugars and sugar confectionery,$80.65M,2022
cuba,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$62.48M,2022
cuba,Export,Lead,$53.02M,2022
cuba,Export,"Wood and articles of wood, wood charcoal",$31.86M,2022
dominica,Export,"Machinery, nuclear reactors, boilers",$5.00M,2023
dominica,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$4.87M,2023
dominica,Export,Edible vegetables and certain roots and tubers,$2.50M,2023
dominica,Export,"Soaps, lubricants, waxes, candles, modelling pastes",$2.38M,2023
dominica,Export,"Tanning, dyeing extracts, tannins, derivatives, pigments",$2.01M,2023
dominica,Export,"Coffee, tea, mate and spices",$1.24M,2023
dominica,Export,"Electrical, electronic equipment",$732.30K,2023
dominica,Export,"Vehicles other than railway, tramway",$566.32K,2023
dominica,Export,Plastics,$533.64K,2023
dominica,Export,Articles of iron or steel,$413.61K,2023
dominican-republic,Export,"Pearls, precious stones, metals, coins",$1.90B,2023
dominican-republic,Export,"Optical, photo, technical, medical apparatus",$1.56B,2023
dominican-republic,Export,"Electrical, electronic equipment",$1.24B,2023
dominican-republic,Export,Tobacco and manufactures tobacco substitutes,$1.21B,2023
dominican-republic,Export,Plastics,$675.83M,2023
dominican-republic,Export,"Articles of apparel, knit or crocheted",$658.04M,2023
dominican-republic,Export,Pharmaceutical products,$605.39M,2023
dominican-republic,Export,Iron and steel,$491.19M,2023
dominican-republic,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$362.39M,2023
dominican-republic,Export,Cocoa and cocoa preparations,$210.93M,2023
ecuador,Export,"Mineral fuels, oils, distillation products",$8.98B,2023
ecuador,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$7.53B,2023
ecuador,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$4.11B,2023
ecuador,Export,Ores slag and ash,$1.93B,2023
ecuador,Export,"Pearls, precious stones, metals, coins",$1.42B,2023
ecuador,Export,"Meat, fish and seafood preparations",$1.37B,2023
ecuador,Export,Cocoa and cocoa preparations,$1.32B,2023
ecuador,Export,"Live trees, plants, bulbs, roots, cut flowers",$1.01B,2023
ecuador,Export,"Wood and articles of wood, wood charcoal",$533.47M,2023
ecuador,Export,"Vegetable, fruit, nut food preparations",$319.58M,2023
el-salvador,Export,"Articles of apparel, knit or crocheted",$1.74B,2023
el-salvador,Export,Plastics,$505.53M,2023
el-salvador,Export,"Paper and paperboard, articles of pulp, paper and board",$388.82M,2023
el-salvador,Export,"Electrical, electronic equipment",$351.98M,2023
el-salvador,Export,"Mineral fuels, oils, distillation products",$344.17M,2023
el-salvador,Export,Sugars and sugar confectionery,$325.11M,2023
el-salvador,Export,Iron and steel,$203.34M,2023
el-salvador,Export,"Cereal, flour, starch, milk preparations and products",$194.72M,2023
el-salvador,Export,Pharmaceutical products,$182.68M,2023
el-salvador,Export,"Beverages, spirits and vinegar",$168.85M,2023
grenada,Export,"Milling products, malt, starches, inlin, wheat gluten",$6.24M,2023
grenada,Export,"Coffee, tea, mate and spices",$4.82M,2023
grenada,Export,"Residues, wastes of food industry, animal fodder",$4.61M,2023
grenada,Export,"Tanning, dyeing extracts, tannins, derivatives, pigments",$4.12M,2023
grenada,Export,"Beverages, spirits and vinegar",$3.06M,2023
grenada,Export,"Electrical, electronic equipment",$2.85M,2023
grenada,Export,"Vehicles other than railway, tramway",$2.78M,2023
grenada,Export,Glass and glassware,$2.58M,2023
grenada,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$2.50M,2023
grenada,Export,"Machinery, nuclear reactors, boilers",$2.42M,2023
guatemala,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$1.57B,2023
guatemala,Export,"Articles of apparel, knit or crocheted",$1.38B,2023
guatemala,Export,"Coffee, tea, mate and spices",$1.33B,2023
guatemala,Export,"Animal, vegetable fats and oils, cleavage products",$1.05B,2023
guatemala,Export,Sugars and sugar confectionery,$779.42M,2023
guatemala,Export,Plastics,$548.61M,2023
guatemala,Export,"Paper and paperboard, articles of pulp, paper and board",$454.28M,2023
guatemala,Export,Edible vegetables and certain roots and tubers,$418.38M,2023
guatemala,Export,"Beverages, spirits and vinegar",$408.84M,2023
guatemala,Export,Pharmaceutical products,$398.18M,2023
guyana,Export,"Mineral fuels, oils, distillation products",$7.32B,2023
guyana,Export,"Railway, tramway locomotives, rolling stock, equipment",$1.26B,2023
guyana,Export,"Pearls, precious stones, metals, coins",$589.56M,2023
guyana,Export,"Ships, boats, and other floating structures",$427.70M,2023
guyana,Export,"Machinery, nuclear reactors, boilers",$407.09M,2023
guyana,Export,Cereals,$240.68M,2023
guyana,Export,Miscellaneous chemical products,$136.64M,2023
guyana,Export,Ores slag and ash,$82.87M,2023
guyana,Export,"Aircraft, spacecraft",$62.33M,2023
guyana,Export,"Beverages, spirits and vinegar",$60.41M,2023
haiti,Export,"Articles of apparel, not knit or crocheted",$24.38M,1997
haiti,Export,"Articles of apparel, knit or crocheted",$7.49M,1997
haiti,Export,"Essential oils, perfumes, cosmetics, toileteries",$3.39M,1997
haiti,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$3.34M,1997
haiti,Export,"Coffee, tea, mate and spices",$3.32M,1997
haiti,Export,"Paper and paperboard, articles of pulp, paper and board",$3.03M,1997
haiti,Export,"Electrical, electronic equipment",$1.81M,1997
haiti,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.68M,1997
haiti,Export,"Articles of leather, animal gut, harness, travel good",$1.53M,1997
haiti,Export,Raw hides and skins (other than furskins) and leather,$1.44M,1997
honduras,Export,"Coffee, tea, mate and spices",$1.50B,2023
honduras,Export,"Electrical, electronic equipment",$1.34B,2023
honduras,Export,"Animal, vegetable fats and oils, cleavage products",$611.98M,2023
honduras,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$391.69M,2023
honduras,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$384.53M,2023
honduras,Export,Tobacco and manufactures tobacco substitutes,$237.48M,2023
honduras,Export,Plastics,$222.53M,2023
honduras,Export,"Residues, wastes of food industry, animal fodder",$193.51M,2023
honduras,Export,"Pearls, precious stones, metals, coins",$176.14M,2023
honduras,Export,Iron and steel,$173.91M,2023
jamaica,Export,"Mineral fuels, oils, distillation products",$867.55M,2023
jamaica,Export,"Inorganic chemicals, precious metal compound, isotope",$484.69M,2023
jamaica,Export,"Beverages, spirits and vinegar",$168.87M,2023
jamaica,Export,Ores slag and ash,$68.01M,2023
jamaica,Export,Miscellaneous edible preparations,$51.26M,2023
jamaica,Export,Edible vegetables and certain roots and tubers,$50.01M,2023
jamaica,Export,"Vegetable, fruit, nut food preparations",$42.56M,2023
jamaica,Export,"Coffee, tea, mate and spices",$36.98M,2023
jamaica,Export,"Cereal, flour, starch, milk preparations and products",$32.47M,2023
jamaica,Export,"Salt, sulphur, earth, stone, plaster, lime and cement",$24.12M,2023
mexico,Export,"Vehicles other than railway, tramway",$136.08B,2022
mexico,Export,"Machinery, nuclear reactors, boilers",$103.01B,2022
mexico,Export,"Electrical, electronic equipment",$97.33B,2022
mexico,Export,"Mineral fuels, oils, distillation products",$37.69B,2022
mexico,Export,"Optical, photo, technical, medical apparatus",$22.84B,2022
mexico,Export,Plastics,$13.15B,2022
mexico,Export,"Furniture, lighting signs, prefabricated buildings",$12.78B,2022
mexico,Export,"Beverages, spirits and vinegar",$11.65B,2022
mexico,Export,Articles of iron or steel,$10.07B,2022
mexico,Export,Edible vegetables and certain roots and tubers,$9.22B,2022
nicaragua,Export,"Articles of apparel, knit or crocheted",$1.39B,2023
nicaragua,Export,"Pearls, precious stones, metals, coins",$1.16B,2023
nicaragua,Export,"Electrical, electronic equipment",$849.24M,2023
nicaragua,Export,Meat and edible meat offal,$719.40M,2023
nicaragua,Export,"Coffee, tea, mate and spices",$610.34M,2023
nicaragua,Export,Tobacco and manufactures tobacco substitutes,$462.98M,2023
nicaragua,Export,"Articles of apparel, not knit or crocheted",$326.92M,2023
nicaragua,Export,"Dairy products, eggs, honey, edible products",$278.59M,2023
nicaragua,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$267.63M,2023
nicaragua,Export,Sugars and sugar confectionery,$230.47M,2023
panama,Export,Ores slag and ash,$2.47B,2023
panama,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$172.00M,2023
panama,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$129.47M,2023
panama,Export,"Animal, vegetable fats and oils, cleavage products",$93.33M,2023
panama,Export,Iron and steel,$55.90M,2023
panama,Export,Pharmaceutical products,$54.28M,2023
panama,Export,"Wood and articles of wood, wood charcoal",$36.90M,2023
panama,Export,"Residues, wastes of food industry, animal fodder",$33.78M,2023
panama,Export,"Coffee, tea, mate and spices",$29.62M,2023
panama,Export,Copper,$28.34M,2023
paraguay,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$3.41B,2024
paraguay,Export,Meat and edible meat offal,$1.83B,2024
paraguay,Export,"Mineral fuels, oils, distillation products",$1.15B,2024
paraguay,Export,Cereals,$897.05M,2024
paraguay,Export,"Residues, wastes of food industry, animal fodder",$673.98M,2024
paraguay,Export,"Animal, vegetable fats and oils, cleavage products",$515.30M,2024
paraguay,Export,"Electrical, electronic equipment",$374.96M,2024
paraguay,Export,Aluminum,$165.15M,2024
paraguay,Export,Miscellaneous chemical products,$150.52M,2024
paraguay,Export,"Beverages, spirits and vinegar",$125.95M,2024
peru,Export,Ores slag and ash,$26.95B,2023
peru,Export,"Pearls, precious stones, metals, coins",$8.68B,2023
peru,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$5.47B,2023
peru,Export,"Mineral fuels, oils, distillation products",$4.40B,2023
peru,Export,Copper,$3.60B,2023
peru,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.36B,2023
peru,Export,"Residues, wastes of food industry, animal fodder",$1.19B,2023
peru,Export,"Coffee, tea, mate and spices",$1.14B,2023
peru,Export,"Articles of apparel, knit or crocheted",$1.08B,2023
peru,Export,Zinc,$853.60M,2023
suriname,Export,"Pearls, precious stones, metals, coins",$1.71B,2023
suriname,Export,Ores slag and ash,$133.64M,2023
suriname,Export,"Machinery, nuclear reactors, boilers",$103.12M,2023
suriname,Export,"Wood and articles of wood, wood charcoal",$74.59M,2023
suriname,Export,Tobacco and manufactures tobacco substitutes,$44.17M,2023
suriname,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$39.29M,2023
suriname,Export,"Beverages, spirits and vinegar",$32.01M,2023
suriname,Export,Cereals,$26.86M,2023
suriname,Export,"Inorganic chemicals, precious metal compound, isotope",$26.15M,2023
suriname,Export,Articles of iron or steel,$19.06M,2023
trinidad-and-tobago,Export,"Mineral fuels, oils, distillation products",$2.39B,2023
trinidad-and-tobago,Export,Organic chemicals,$1.56B,2023
trinidad-and-tobago,Export,"Inorganic chemicals, precious metal compound, isotope",$1.50B,2023
trinidad-and-tobago,Export,Iron and steel,$749.91M,2023
trinidad-and-tobago,Export,Fertilizers,$365.92M,2023
trinidad-and-tobago,Export,"Beverages, spirits and vinegar",$138.93M,2023
trinidad-and-tobago,Export,"Cereal, flour, starch, milk preparations and products",$124.48M,2023
trinidad-and-tobago,Export,"Machinery, nuclear reactors, boilers",$111.41M,2023
trinidad-and-tobago,Export,"Paper and paperboard, articles of pulp, paper and board",$88.70M,2023
trinidad-and-tobago,Export,Miscellaneous edible preparations,$83.06M,2023
united-states,Export,"Mineral fuels, oils, distillation products",$320.14B,2024
united-states,Export,"Machinery, nuclear reactors, boilers",$252.43B,2024
united-states,Export,"Electrical, electronic equipment",$213.92B,2024
united-states,Export,"Vehicles other than railway, tramway",$143.77B,2024
united-states,Export,"Aircraft, spacecraft",$134.24B,2024
united-states,Export,"Optical, photo, technical, medical apparatus",$106.29B,2024
united-states,Export,Pharmaceutical products,$94.39B,2024
united-states,Export,Plastics,$80.08B,2024
united-states,Export,Commodities not specified according to kind,$79.23B,2024
united-states,Export,"Pearls, precious stones, metals, coins",$73.07B,2024
uruguay,Export,Meat and edible meat offal,$2.89B,2022
uruguay,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$2.14B,2022
uruguay,Export,"Wood and articles of wood, wood charcoal",$1.08B,2022
uruguay,Export,"Dairy products, eggs, honey, edible products",$894.78M,2022
uruguay,Export,Cereals,$819.09M,2022
uruguay,Export,"Vehicles other than railway, tramway",$437.95M,2022
uruguay,Export,Plastics,$352.77M,2022
uruguay,Export,"Animal, vegetable fats and oils, cleavage products",$293.37M,2022
uruguay,Export,"Milling products, malt, starches, inlin, wheat gluten",$289.48M,2022
uruguay,Export,Pharmaceutical products,$184.61M,2022
venezuela,Export,"Mineral fuels, oils, distillation products",$85.92B,2013
venezuela,Export,Organic chemicals,$656.53M,2013
venezuela,Export,Iron and steel,$303.42M,2013
venezuela,Export,Ores slag and ash,$266.29M,2013
venezuela,Export,Fertilizers,$155.35M,2013
venezuela,Export,"Inorganic chemicals, precious metal compound, isotope",$132.58M,2013
venezuela,Export,"Ships, boats, and other floating structures",$103.39M,2013
venezuela,Export,Aluminum,$74.21M,2013
venezuela,Export,"Base metals not specified elsewhere, cermets.",$45.35M,2013
venezuela,Export,Miscellaneous chemical products,$43.47M,2013
albania,Export,"Mineral fuels, oils, distillation products",$692.73M,2023
albania,Export,"Footwear, gaiters and the like,",$550.55M,2023
albania,Export,Iron and steel,$451.14M,2023
albania,Export,"Articles of apparel, not knit or crocheted",$376.77M,2023
albania,Export,"Electrical, electronic equipment",$292.67M,2023
albania,Export,"Articles of apparel, knit or crocheted",$275.52M,2023
albania,Export,Aluminum,$139.53M,2023
albania,Export,Ores slag and ash,$137.82M,2023
albania,Export,Edible vegetables and certain roots and tubers,$125.63M,2023
albania,Export,Articles of iron or steel,$113.82M,2023
andorra,Export,"Vehicles other than railway, tramway",$52.57M,2023
andorra,Export,"Electrical, electronic equipment",$51.96M,2023
andorra,Export,"Works of art, collectors' pieces and antiques",$51.00M,2023
andorra,Export,"Optical, photo, technical, medical apparatus",$20.43M,2023
andorra,Export,Clocks and watches,$9.57M,2023
andorra,Export,"Paper and paperboard, articles of pulp, paper and board",$9.11M,2023
andorra,Export,"Machinery, nuclear reactors, boilers",$8.38M,2023
andorra,Export,"Pearls, precious stones, metals, coins",$7.31M,2023
andorra,Export,"Articles of apparel, not knit or crocheted",$6.04M,2023
andorra,Export,"Footwear, gaiters and the like,",$3.88M,2023
austria,Export,"Machinery, nuclear reactors, boilers",$37.26B,2023
austria,Export,"Vehicles other than railway, tramway",$21.92B,2023
austria,Export,"Electrical, electronic equipment",$20.23B,2023
austria,Export,Pharmaceutical products,$17.59B,2023
austria,Export,Iron and steel,$9.33B,2023
austria,Export,Plastics,$8.82B,2023
austria,Export,"Mineral fuels, oils, distillation products",$7.76B,2023
austria,Export,Articles of iron or steel,$7.53B,2023
austria,Export,Organic chemicals,$7.40B,2023
austria,Export,"Optical, photo, technical, medical apparatus",$5.91B,2023
belarus,Export,Commodities not specified according to kind,$16.04B,2021
belarus,Export,"Dairy products, eggs, honey, edible products",$2.71B,2021
belarus,Export,"Wood and articles of wood, wood charcoal",$2.33B,2021
belarus,Export,"Machinery, nuclear reactors, boilers",$1.84B,2021
belarus,Export,"Electrical, electronic equipment",$1.42B,2021
belarus,Export,Iron and steel,$1.34B,2021
belarus,Export,Articles of iron or steel,$1.12B,2021
belarus,Export,"Furniture, lighting signs, prefabricated buildings",$1.04B,2021
belarus,Export,Plastics,$1.00B,2021
belarus,Export,Meat and edible meat offal,$960.54M,2021
belgium,Export,Pharmaceutical products,$60.47B,2023
belgium,Export,"Mineral fuels, oils, distillation products",$51.79B,2023
belgium,Export,"Vehicles other than railway, tramway",$44.13B,2023
belgium,Export,"Machinery, nuclear reactors, boilers",$25.81B,2023
belgium,Export,Plastics,$20.09B,2023
belgium,Export,Iron and steel,$15.43B,2023
belgium,Export,"Pearls, precious stones, metals, coins",$15.43B,2023
belgium,Export,Organic chemicals,$15.31B,2023
belgium,Export,"Electrical, electronic equipment",$14.24B,2023
belgium,Export,"Optical, photo, technical, medical apparatus",$9.85B,2023
bosnia-and-herzegovina,Export,"Mineral fuels, oils, distillation products",$878.79M,2023
bosnia-and-herzegovina,Export,"Electrical, electronic equipment",$785.87M,2023
bosnia-and-herzegovina,Export,"Machinery, nuclear reactors, boilers",$728.17M,2023
bosnia-and-herzegovina,Export,"Furniture, lighting signs, prefabricated buildings",$722.07M,2023
bosnia-and-herzegovina,Export,Articles of iron or steel,$677.89M,2023
bosnia-and-herzegovina,Export,"Wood and articles of wood, wood charcoal",$541.58M,2023
bosnia-and-herzegovina,Export,Aluminum,$474.09M,2023
bosnia-and-herzegovina,Export,"Inorganic chemicals, precious metal compound, isotope",$463.58M,2023
bosnia-and-herzegovina,Export,"Footwear, gaiters and the like,",$450.24M,2023
bosnia-and-herzegovina,Export,Plastics,$429.88M,2023
bulgaria,Export,"Electrical, electronic equipment",$5.38B,2023
bulgaria,Export,"Machinery, nuclear reactors, boilers",$3.88B,2023
bulgaria,Export,"Mineral fuels, oils, distillation products",$3.79B,2023
bulgaria,Export,Copper,$3.71B,2023
bulgaria,Export,Cereals,$2.30B,2023
bulgaria,Export,Commodities not specified according to kind,$2.22B,2023
bulgaria,Export,"Vehicles other than railway, tramway",$1.65B,2023
bulgaria,Export,Plastics,$1.44B,2023
bulgaria,Export,Pharmaceutical products,$1.35B,2023
bulgaria,Export,Ores slag and ash,$1.22B,2023
croatia,Export,"Mineral fuels, oils, distillation products",$2.96B,2023
croatia,Export,"Electrical, electronic equipment",$2.36B,2023
croatia,Export,"Machinery, nuclear reactors, boilers",$1.99B,2023
croatia,Export,"Wood and articles of wood, wood charcoal",$1.20B,2023
croatia,Export,Pharmaceutical products,$1.17B,2023
croatia,Export,"Vehicles other than railway, tramway",$838.81M,2023
croatia,Export,Articles of iron or steel,$793.30M,2023
croatia,Export,"Articles of apparel, knit or crocheted",$788.94M,2023
croatia,Export,Plastics,$736.18M,2023
croatia,Export,Aluminum,$728.31M,2023
cyprus,Export,"Mineral fuels, oils, distillation products",$1.68B,2023
cyprus,Export,"Ships, boats, and other floating structures",$1.46B,2023
cyprus,Export,Pharmaceutical products,$436.42M,2023
cyprus,Export,"Dairy products, eggs, honey, edible products",$348.90M,2023
cyprus,Export,"Essential oils, perfumes, cosmetics, toileteries",$148.89M,2023
